sigma, beta, L
-0.01938629150390625, 9.313225746154785e-10, -181704.3745062623
-0.01721954345703125, 9.313225746154785e-10, -181704.3745057333
-0.003662109375, 9.313225746154785e-10, -181704.3745024234
-0.332611083984375, 9.313225746154785e-10, -181704.3745827332
0.0009307861328125, 0.0004653921350836754, -181704.31772276267
-0.07277679443359375, 9.313225746154785e-10, -181704.3745192971
-0.4714813232421875, 9.313225746154785e-10, -181704.37461663707
-0.8330230712890625, 9.313225746154785e-10, -181704.3747049041
-0.09001922607421875, 9.313225746154785e-10, -181704.37452350667
-0.01152801513671875, 9.313225746154785e-10, -181704.37450434378
-0.05153656005859375, 9.313225746154785e-10, -181704.3745141115
-0.07909393310546875, 9.313225746154785e-10, -181704.37452083937
-0.00997161865234375, 9.313225746154785e-10, -181704.3745039638
-0.09535980224609375, 9.313225746154785e-10, -181704.37452481053
-0.013336181640625, 9.313225746154785e-10, -181704.37450478523
-0.01174163818359375, 9.313225746154785e-10, -181704.37450439594
-0.0901031494140625, 9.313225746154785e-10, -181704.37452352716
-0.014739990234375, 9.313225746154785e-10, -181704.37450512795
-0.00734710693359375, 9.313225746154785e-10, -181704.37450332305
-0.05031585693359375, 9.313225746154785e-10, -181704.37451381347
-0.35608673095703125, 9.313225746154785e-10, -181704.37458846456
-0.19855499267578125, 9.313225746154785e-10, -181704.37455000466
-1.4168624877929688, 9.313225746154785e-10, -181704.37484744302
-0.00191497802734375, 9.313225746154785e-10, -181704.37450199685
-0.22632598876953125, 9.313225746154785e-10, -181704.3745567847
-0.0242919921875, 9.313225746154785e-10, -181704.37450746
0.00274658203125, 0.001373286359012127, -181703.88011671553
-0.00371551513671875, 9.313225746154785e-10, -181704.37450243643
-0.02286529541015625, 9.313225746154785e-10, -181704.37450711167
-0.3170928955078125, 9.313225746154785e-10, -181704.37457894458
